"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"24-0048333","2024 Aug 18 04:00:31 AM","Rape","11A","Person","true","Parking Lot/Garage","Prince George's County Police","20737","I","B3","0225","PG COUNTY"
"25-0028523","2025 Mar 20 09:00:22 AM","Rape","11A","Person","true","Commercial / Office Building","Hyattsville City Police","20783","I","A4","0138","PG COUNTY"
"26-0004310","2026 Jan 22 10:00:38 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A3","0125","PG COUNTY"
"26-0013665","2026 Mar 10 08:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20740","I","B6","0120","COLLEGE PARK"
"26-0006602","2026 Feb 08 04:21:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A7","0107","PG COUNTY"
"26-0020157","2026 Apr 16 06:00:37 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A7","0104","PG COUNTY"
"26-0016636","2026 Mar 30 01:04:34 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"25-0061438","2025 Mar 01 12:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0062586","2025 Nov 04 10:30:00 PM","Rape","11A","Person","true","Other / Unknown","Prince George's County Police","20706","II","D1","0825","PG COUNTY"
"25-0013076","2024 Oct 06 10:30:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0059347","2024 Oct 06 01:00:09 AM","Rape","11B","Person","true","Residence/Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0044450","2025 Jan 07 01:00:00 AM","Rape","11C","Person","true","Residence / Home","Bowie City Police","20715","II","D31","0867","BOWIE"
"25-0011821","2025 Mar 07 12:00:00 PM","Rape","11C","Person","true","Residence / Home","Bowie City Police","20715","II","D31","0885","BOWIE"
"25-0059186","2025 Sep 30 08:00:00 PM","Rape","11A","Person","true","Hotel / Motel","Prince George's County Police","20706","II","D6","0840","PG COUNTY"
"25-0017161","2025 Mar 29 05:00:00 AM","Rape","11A","Person","true","Residence / Home","Bowie City Police","20715","II","D41","0822","BOWIE"
